judul_lagu,artis,genre,valence,energy,danceability,tempo,acousticness,popularity,genre_utama,mood,tokens,cluster
Christmas Calling (Jolly Jones),Norah Jones,j-pop,0.354,0.543,0.43,143.912,0.463,0,Pop,Melancholic,christmas calling jolly jones,4
Dreams Never End - 2015 Remaster,New Order,synth-pop,0.817,0.913,0.606,146.15,0.0154,58,Pop,Happy,dreams never end remaster,4
Girls on Film - 2010 Remaster,Duran Duran,synth-pop,0.53,0.859,0.726,131.71,0.0173,0,Pop,Energetic,girls film remaster,4
Things Can Only Get Better,Howard Jones,synth-pop,0.832,0.743,0.752,108.254,0.0314,23,Pop,Happy,things only better,4
DUMB DUMB,JEON SOMI,k-pop,0.383,0.748,0.853,103.045,0.0177,63,Pop,Energetic,dumb dumb,4
Too Late,Washed Out,synth-pop,0.576,0.874,0.43,195.891,0.127,52,Pop,Energetic,too late,4
Thank You Maa,Sangeetha Rajeev,k-pop,0.475,0.568,0.705,122.026,0.596,42,Pop,Groovy,thank maa,4
STORY OF DUTY,BiSH,j-idol,0.223,0.956,0.266,199.873,2.53e-05,23,Pop,Dark,story duty,4
Var är du min vän,Lisa Nilsson,j-pop,0.641,0.324,0.459,143.231,0.777,40,Pop,Calm,var ar du min van,4
Ordinary World,Duran Duran,synth-pop,0.401,0.652,0.472,140.124,0.0131,73,Pop,Groovy,ordinary world,4
Blinding Lights,The Weeknd,pop,0.334,0.73,0.514,171.005,0.00146,91,Pop,Energetic,blinding lights,4
Heartbeat (BTS World Original Soundtrack),BTS,k-pop,0.307,0.716,0.437,170.094,0.39,66,Pop,Energetic,heartbeat bts world original soundtrack,4
Mere Baba,Jubin Nautiyal,k-pop,0.629,0.768,0.605,80.971,0.235,54,Pop,Happy,mere baba,4
Baarish Ki Jaaye,B Praak;Nawazuddin Siddiqui;Sunanda Sharma,pop,0.475,0.765,0.524,157.487,0.319,63,Pop,Energetic,baarish ki jaaye,4
Ninna Gungalli,Adhvik;Puja Purad,k-pop,0.745,0.808,0.791,115.0,0.347,57,Pop,Happy,ninna gungalli,4
Buick City Complex,Old 97's,power-pop,0.492,0.701,0.376,168.903,0.0912,22,Pop,Energetic,buick city complex,4
如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲,Eric Chou,mandopop,0.142,0.358,0.48,149.945,0.622,55,Pop,Sad,hbo asia,4
Where the Wind Blows,Ado,j-pop,0.233,0.717,0.441,139.987,0.159,62,Pop,Dark,wind blows,4
TRIANGLE DREAMER,虹のコンキスタドール,j-idol,0.549,0.947,0.469,173.007,0.111,17,Pop,Energetic,triangle dreamer,4
"Unna Nenachu (From ""Psycho (Tamil)"")",Ilaiyaraaja;Sid Sriram,k-pop,0.252,0.235,0.331,82.511,0.891,57,Pop,Sad,unna nenachu psycho tamil,4
Hi Hello,Yuvan Shankar Raja;Sanjith Hegde,k-pop,0.684,0.812,0.719,119.996,0.296,49,Pop,Happy,hi hello,4
Shiddat Title Track,Manan Bhardwaj,pop,0.439,0.625,0.489,149.921,0.288,65,Pop,Groovy,shiddat title track,4
The Best Is Yet To Come,At17,cantopop,0.352,0.32,0.507,85.464,0.868,36,Pop,Sad,best yet come,4
Crushed By The Wheels Of Industry - Remastered 2006,Heaven 17,synth-pop,0.6,0.728,0.798,119.589,0.113,27,Pop,Happy,crushed wheels industry remastered,4
If Money Talks,Jason & The Scorchers,power-pop,0.349,0.985,0.299,175.934,0.0168,21,Pop,Energetic,money talks,4
"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev;Jubin Nautiyal,pop,0.345,0.401,0.473,90.076,0.629,70,Pop,Melancholic,tum hi aana marjaavaan,4
"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",Darbuka Siva;Sid Sriram,pop,0.355,0.521,0.556,127.956,0.632,68,Pop,Melancholic,mudhal nee mudivum nee title track mudhal nee mudivum nee,4
Amor Fati,Washed Out,synth-pop,0.531,0.857,0.508,100.977,0.0426,42,Pop,Energetic,amor fati,4
Hard Luck,White Reaper,power-pop,0.314,0.759,0.541,120.048,0.00185,24,Pop,Energetic,hard luck,4
Their Own Medicine,Off With Their Heads,power-pop,0.459,0.995,0.376,202.721,0.000487,25,Pop,Energetic,own medicine,4
Peek-A-Boo,Red Velvet,k-pop,0.639,0.902,0.839,114.953,0.0868,67,Pop,Happy,peek boo,4
En Kadhal Solla,Yuvan Shankar Raja;Tanvi Shah,k-pop,0.56,0.412,0.874,105.019,0.035,62,Pop,Groovy,en kadhal solla,4
Kisi Disco Mein Jaaye,Alka Yagnik;Udit Narayan,k-pop,0.961,0.939,0.622,170.058,0.602,45,Pop,Happy,kisi disco mein jaaye,4
Teenage Dirtbag,Cavetown;chloe moriondo,indie-pop,0.476,0.373,0.367,94.182,0.61,1,Pop,Romantic,teenage dirtbag,4
Maine Pyar Tumhi Se Kiya Hai,Anuradha Paudwal;Kumar Sanu,k-pop,0.8,0.634,0.515,120.041,0.559,53,Pop,Happy,maine pyar tumhi kiya,4
Ross And Rachel,Jake Miller,indie-pop,0.227,0.639,0.66,124.068,0.345,60,Pop,Groovy,ross rachel,4
You'll Be in My Dreams Today,Screeching Weasel,power-pop,0.737,0.938,0.537,100.283,0.00221,22,Pop,Happy,ll dreams today,4
Gali Mein Chand - Happy,Alka Yagnik,k-pop,0.624,0.402,0.427,103.379,0.763,52,Pop,Groovy,gali mein chand happy,4
Love to Hate You (2019 - Remaster),Erasure,synth-pop,0.837,0.883,0.626,119.956,0.0194,12,Pop,Happy,love hate remaster,4
黒毛和牛上塩タン焼680円 - ちゅうおん2021 Live ver.,Shiritsu Ebisu Chugaku,j-idol,0.239,0.666,0.406,119.956,0.000565,17,Pop,Groovy,live ver,4
There Must Be an Angel (Playing with My Heart),Eurythmics;Annie Lennox;Dave Stewart,synth-pop,0.648,0.78,0.599,112.046,0.284,25,Pop,Happy,there must angel playing heart,4
True Faith '94,New Order,synth-pop,0.965,0.907,0.605,117.511,0.0158,58,Pop,Happy,true faith,4
Talk that Talk,TWICE,k-pop,0.783,0.907,0.772,119.973,0.136,86,Pop,Happy,talk talk,4
Beduvenu Varavnnu,Prem,k-pop,0.455,0.579,0.539,127.998,0.455,44,Pop,Groovy,beduvenu varavnnu,4
Hold Me Now,Thompson Twins,synth-pop,0.882,0.516,0.787,108.19,0.66,58,Pop,Groovy,hold now,4
Lost In The Weekend,Cesare Cremonini,indie-pop,0.5,0.861,0.716,108.006,0.125,1,Pop,Energetic,lost weekend,4
Lunar De Clavícula,PXNDX,emo,0.714,0.804,0.491,125.175,0.0202,42,Rock,Happy,lunar de clavicula,5
Rockin' Daddy,Eddie Bond,rockabilly,0.748,0.857,0.537,95.082,0.723,23,Rock,Happy,rockin daddy,5
Deacon Blues,Steely Dan,psych-rock,0.599,0.545,0.751,115.848,0.49,29,Rock,Groovy,deacon blues,5
Diablito Loco (Pickle Up a Doodle),Leda Moreno,rock-n-roll,0.957,0.658,0.78,132.793,0.533,31,Rock,Happy,diablito loco pickle doodle,5
Mi Linda Esposa,Josue,rock-n-roll,0.594,0.436,0.668,101.381,0.234,29,Rock,Groovy,mi linda esposa,5
RIP Roach,XXXTENTACION;Ski Mask The Slump God,emo,0.555,0.62,0.727,105.003,0.398,76,Rock,Groovy,rip roach,5
El Gran Tomás (Norman),Mayte Gaos,rock-n-roll,0.943,0.195,0.716,132.025,0.781,31,Rock,Calm,el gran tomas norman,5
Rockin' Around The Christmas Tree,Brenda Lee,rockabilly,0.856,0.593,0.708,140.508,0.764,1,Rock,Groovy,rockin around christmas tree,5
Saturation (Strange Love),Grey Daze,grunge,0.314,0.899,0.423,175.911,0.0032,42,Rock,Energetic,saturation strange love,5
Pensar Bien,Connor Questa,grunge,0.538,0.66,0.621,125.826,0.00547,24,Rock,Groovy,pensar bien,5
Why Do I Love You So,Johnny Tillotson,rockabilly,0.543,0.144,0.539,76.442,0.982,41,Rock,Romantic,why love,5
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,punk-rock,0.774,0.759,0.609,114.045,0.028,77,Rock,Happy,heaven knows miserable now remaster,5
Angel Eléctrico - Remasterizado 2007,Soda Stereo,punk-rock,0.154,0.694,0.321,171.094,0.000945,39,Rock,Groovy,angel electrico remasterizado,5
Sound of Madness,Shinedown,grunge,0.329,0.939,0.328,185.971,4.93e-05,67,Rock,Energetic,sound madness,5
La Última Y Me Voy,División Minúscula,punk-rock,0.519,0.946,0.458,157.035,0.00455,41,Rock,Energetic,la ultima voy,5
Te Vas a Acordar de Mí,Panteon Rococo,alt-rock,0.685,0.808,0.71,141.032,0.0198,45,Rock,Happy,te vas acordar de mi,5
About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,alternative,0.281,0.758,0.636,97.025,0.331,59,Rock,Dark,love netflix film boys still love,5
La Cábala,Los Miserables,hard-rock,0.746,0.942,0.548,99.613,0.108,36,Rock,Happy,la cabala,5
Higher Ground - Remastered,Red Hot Chili Peppers,alt-rock,0.394,0.979,0.476,140.408,0.00142,1,Rock,Energetic,higher ground remastered,5
"Amarah, Senyum, dan Air Mata",Alone At Last,emo,0.513,0.762,0.472,150.119,0.00198,39,Rock,Energetic,amarah senyum air mata,5
California Gurls,The Baseballs,rockabilly,0.675,0.764,0.615,128.078,0.79,26,Rock,Happy,california gurls,5
Sharp Knife,Third Eye Blind,grunge,0.322,0.861,0.335,128.067,0.0139,26,Rock,Energetic,sharp knife,5
Crazy Horse Boogie,The Rockabilly Rebels,rockabilly,0.901,0.709,0.302,153.803,0.0546,23,Rock,Happy,crazy horse boogie,5
Sob a Mira,Matanza,hard-rock,0.442,0.988,0.206,182.035,0.00692,35,Rock,Energetic,sob mira,5
Betty Boop,División Minúscula;Mariana Priego,punk-rock,0.61,0.879,0.437,123.134,0.00136,36,Rock,Happy,betty boop,5
Dark Necessities,Red Hot Chili Peppers,alt-rock,0.197,0.742,0.7,91.959,0.0722,74,Rock,Dark,dark necessities,5
Tudo Pro Alto,Charlie Brown Jr.,alt-rock,0.603,0.945,0.215,179.079,0.000639,48,Rock,Happy,tudo pro alto,5
Soñando despierto,El Bordo,punk-rock,0.818,0.715,0.481,135.802,0.00422,35,Rock,Happy,sonando despierto,5
your favorite dress,Lil Peep;Lil Tracy,emo,0.101,0.628,0.494,129.966,0.0814,66,Rock,Groovy,favorite dress,5
Quieren Dinero,Los Prisioneros,hard-rock,0.811,0.665,0.618,145.45,0.0168,36,Rock,Happy,quieren dinero,5
Dirty Road,Days Of The New,grunge,0.486,0.709,0.59,110.807,0.0501,24,Rock,Energetic,dirty road,5
Every Lie,My Darkest Days,grunge,0.594,0.938,0.578,112.031,0.000807,61,Rock,Energetic,every lie,5
Tequila Con Limón,Los Juniors,rock-n-roll,0.873,0.727,0.686,149.814,0.761,34,Rock,Happy,tequila con limon,5
On My Knees - Previously Released Material,Charlie Rich,rockabilly,0.611,0.391,0.584,114.963,0.845,26,Rock,Calm,knees previously released material,5
Don't Bug Me,John Lindberg Trio,rockabilly,0.654,0.89,0.563,128.03,0.0399,22,Rock,Happy,don bug,5
Fool in the Rain - Remaster,Led Zeppelin,hard-rock,0.702,0.912,0.52,131.403,0.124,64,Rock,Happy,fool rain remaster,5
you deserve better,sadeyes,emo,0.362,0.488,0.591,109.9,0.358,59,Rock,Melancholic,deserve better,5
Burning Love,Elvis Presley,rock-n-roll,0.972,0.748,0.66,143.549,0.0993,74,Rock,Happy,burning love,5
Toxi-Taxi,Patricio Rey y sus Redonditos de Ricota,alt-rock,0.704,0.858,0.576,111.96,0.000757,47,Rock,Happy,toxi taxi,5
Golden Nights,Sophie and the Giants;Benny Benassi;Dardust;Astrality,indie,0.607,0.649,0.658,125.958,0.307,0,Rock,Happy,golden nights,5
"Merry Christmas, Baby",Rod Stewart;CeeLo Green;Trombone Shorty,rock,0.782,0.677,0.463,202.05,0.257,0,Rock,Happy,merry christmas baby,5
İnce İnce Bir Kar Yağar,Selda Bağcan,psych-rock,0.426,0.715,0.407,87.677,0.11,28,Rock,Energetic,ince ince bir kar yagar,5
Venus In Furs,The Velvet Underground;Nico,psych-rock,0.567,0.618,0.225,144.724,0.00137,57,Rock,Groovy,venus furs,5
Dunia Belum Berakhir,Anarcute,punk,0.518,0.65,0.519,97.066,0.00075,37,Rock,Groovy,dunia belum berakhir,5
Green Goes,Charlie Brown Jr.,hard-rock,0.79,0.79,0.779,95.0,0.427,35,Rock,Happy,green goes,5
Nöbetçinin Türküsü,Cem Karaca,psych-rock,0.449,0.583,0.44,94.649,0.367,26,Rock,Groovy,nobetcinin turkusu,5
Rey Criollo - King Creole,Los Teen Tops,rockabilly,0.894,0.869,0.421,91.043,0.376,27,Rock,Happy,rey criollo king creole,5
Aku Cinta Kau Dan Dia,Endank Soekamti,punk-rock,0.572,0.937,0.372,110.634,0.000924,38,Rock,Energetic,cinta kau,5
Me Gusta Ese Tajo,Pescado Rabioso,alt-rock,0.673,0.717,0.459,157.436,0.00159,45,Rock,Happy,gusta ese tajo,5
Immortality - Remastered,Pearl Jam,grunge,0.118,0.543,0.633,129.089,0.0798,54,Rock,Melancholic,immortality remastered,5
Lovesong - Remastered,The Cure,punk-rock,0.856,0.791,0.611,140.12,0.326,67,Rock,Happy,lovesong remastered,5
Cien Kilos de Barro (100 Pounds of Clay),Enrique Guzman,rock-n-roll,0.791,0.554,0.523,118.578,0.2,31,Rock,Groovy,cien kilos de barro pounds clay,5
Haciendote el Amor,Los Locos Del Ritmo,rock-n-roll,0.988,0.719,0.571,138.16,0.871,31,Rock,Happy,haciendote el amor,5
Eyes Wide Open,Staind,alt-rock,0.432,0.936,0.29,167.818,0.000481,0,Rock,Energetic,eyes wide open,5
Bohemian Rhapsody - Remastered 2011,Queen,rock,0.224,0.404,0.414,71.105,0.271,82,Rock,Melancholic,bohemian rhapsody remastered,5
Mary On A Cross,Ghost,hard-rock,0.561,0.9,0.466,130.02,0.000235,88,Rock,Energetic,mary cross,5
Vasoline - 2019 Remaster,Stone Temple Pilots,grunge,0.353,0.977,0.295,168.672,0.00147,63,Rock,Energetic,vasoline remaster,5
Você Não Sabe o Que Perdeu,Cachorro Grande,punk-rock,0.835,0.94,0.501,136.525,0.000145,40,Rock,Happy,voce nao sabe que perdeu,5
Ghost Town,Layto;Neoni,alt-rock,0.528,0.643,0.631,130.099,0.0658,62,Rock,Groovy,ghost town,5
Casual Sex,My Darkest Days,grunge,0.858,0.922,0.671,116.04,0.00912,60,Rock,Happy,casual sex,5
Canção Pra Você Viver Mais,Pato Fu,alt-rock,0.762,0.647,0.631,164.191,0.0316,45,Rock,Happy,cancao pra voce viver mais,5
Hey Hey Rise Up - feat. Andriy Khlyvnyuk of Boombox,Pink Floyd,psych-rock,0.49,0.463,0.517,114.891,0.0116,56,Rock,Groovy,hey hey rise feat andriy khlyvnyuk boombox,5
Mi Mundo,Los Freddy's,rock-n-roll,0.604,0.336,0.483,68.387,0.329,33,Rock,Calm,mi mundo,5
Brain Damage,Pink Floyd,psych-rock,0.208,0.265,0.324,133.568,0.0732,66,Rock,Sad,brain damage,5
Man (Opposable Thumb),The Presidents Of The United States Of America,grunge,0.694,0.834,0.391,92.147,0.0233,28,Rock,Happy,man opposable thumb,5
"Elliot's Song - From ""Euphoria"" An HBO Original Series",Dominic Fike;Zendaya,alt-rock,0.411,0.327,0.394,93.358,0.849,70,Rock,Romantic,elliot song euphoria hbo original series,5
Tu Falta De Querer,Mon Laferte,alternative,0.45,0.473,0.394,129.996,0.0247,0,Rock,Groovy,tu falta de querer,5
Space Child - 2007 Remaster,UFO,psych-rock,0.624,0.494,0.436,127.618,0.0164,48,Rock,Groovy,space child remaster,5
Silvia - Ao Vivo,Camisa de Vênus,punk-rock,0.413,0.813,0.566,114.13,0.0761,38,Rock,Energetic,silvia ao vivo,5
Part Of The Band,The 1975,alt-rock,0.832,0.51,0.714,142.009,0.76,69,Rock,Groovy,part band,5
Blue Moon,The Marcels,rockabilly,0.935,0.432,0.624,127.69,0.656,52,Rock,Groovy,blue moon,5
A Mi Manera,Jorge Muñiz;José Luis Duval,rock-n-roll,0.274,0.451,0.403,73.99,0.195,31,Rock,Melancholic,mi manera,5
Ona Gitme,Batu Akdeniz,alt-rock,0.483,0.728,0.475,82.474,0.0331,44,Rock,Energetic,ona gitme,5
Made To Love,Imelda May;Ronnie Wood;Gina Martin;Dr. Shola Mos-Shogbamimu,rockabilly,0.539,0.808,0.447,136.96,0.0484,28,Rock,Energetic,made love,5
Carmela - Remasterizado 2008,Los Fabulosos Cadillacs,alt-rock,0.841,0.891,0.695,116.68,0.14,45,Rock,Happy,carmela remasterizado,5
Portugal De Navio,Os Mutantes,psych-rock,0.585,0.379,0.582,128.925,0.607,37,Rock,Romantic,portugal de navio,5
La Historia De Mi Amor,Alberto Vazquez,rock-n-roll,0.774,0.355,0.695,124.779,0.956,31,Rock,Calm,la historia de mi amor,5
Camisa 10 joga bola até na chuva (Bomba Sonica),Charlie Brown Jr.,hard-rock,0.96,0.944,0.591,91.991,0.128,38,Rock,Happy,camisa joga bola ate na chuva bomba sonica,5
Fly from the Inside,Shinedown,grunge,0.345,0.924,0.474,96.146,3.37e-05,27,Rock,Energetic,fly inside,5
La Flor Azul,Divididos,alt-rock,0.754,0.677,0.463,89.581,0.593,49,Rock,Happy,la flor azul,5
Ex Bitch,XXXTENTACION,emo,0.702,0.462,0.835,78.99,0.513,73,Rock,Groovy,ex bitch,5
In The Name Of Love - Recorded At Spotify Studios NYC,Kari Jobe,alt-rock,0.187,0.375,0.675,134.023,0.542,2,Rock,Sad,name love recorded spotify studios nyc,5
Cradled in Love,Poets of the Fall,alt-rock,0.317,0.474,0.592,130.0,0.557,42,Rock,Melancholic,cradled love,5
Love Hurts - 2007 Remaster,The Everly Brothers,rockabilly,0.539,0.246,0.65,91.04,0.846,50,Rock,Romantic,love hurts remaster,5
Rebellion (feat. Daron Malakian),Linkin Park;Daron Malakian,grunge,0.325,0.971,0.508,130.023,0.00145,49,Rock,Energetic,rebellion feat daron malakian,5
Queen of Hearts,Starla Edney,indie,0.462,0.682,0.805,96.009,0.276,63,Rock,Groovy,queen hearts,5
Chica Alborotada,Los Juniors,rock-n-roll,0.905,0.883,0.683,156.18,0.481,37,Rock,Happy,chica alborotada,5
por la morning (dumb),Underaiki,emo,0.237,0.565,0.636,71.086,0.37,34,Rock,Melancholic,por la morning dumb,5
Los Esclavos,Ramona;Little Jesus,psych-rock,0.93,0.601,0.787,125.053,0.104,33,Rock,Happy,los esclavos,5
La Pequeña Novia del Carioca,Patricio Rey y sus Redonditos de Ricota,punk,0.459,0.49,0.444,149.986,0.0383,40,Rock,Groovy,la pequena novia del carioca,5
When I Come Around,Green Day,punk,0.814,0.909,0.531,97.546,0.0175,76,Rock,Happy,come around,5
Un Viejo Amor (feat. Edith Márquez),Los Baby's;Edith Márquez,rock-n-roll,0.825,0.853,0.62,110.009,0.215,38,Rock,Happy,un viejo amor feat edith marquez,5
Alien Duce,Patricio Rey y sus Redonditos de Ricota,punk-rock,0.743,0.771,0.65,112.71,0.00119,38,Rock,Happy,alien duce,5
Somos un corazón,Los Solitarios,rock-n-roll,0.601,0.333,0.366,101.773,0.0932,29,Rock,Calm,somos un corazon,5
Your Guardian Angel,The Red Jumpsuit Apparatus,punk-rock,0.382,0.48,0.29,112.62,0.116,66,Rock,Melancholic,guardian angel,5
Pledging My Love,Elvis Presley,rockabilly,0.767,0.42,0.399,69.208,0.84,43,Rock,Groovy,pledging love,5
El Gato Loco,Los Teen Tops,rockabilly,0.961,0.821,0.686,160.873,0.296,27,Rock,Happy,el gato loco,5
This Life On The Dark,Dx Aneurysm,grunge,0.518,0.98,0.604,120.095,5.98e-05,24,Rock,Energetic,life dark,5
Rindumu Disana,Last Child,punk-rock,0.646,0.925,0.502,80.02,0.00197,50,Rock,Happy,rindumu disana,5
The Kid I Used to Know,Arrested Youth,alt-rock,0.267,0.776,0.639,160.101,0.0731,66,Rock,Dark,kid used know,5
Kings And Queens,Thirty Seconds To Mars,grunge,0.145,0.817,0.293,165.0,0.0401,63,Rock,Dark,kings queens,5
Ashes of Eden,Breaking Benjamin,grunge,0.277,0.534,0.241,159.974,0.0561,61,Rock,Melancholic,ashes eden,5
California Dreamin',The Beach Boys,psych-rock,0.591,0.847,0.577,116.474,0.0214,46,Rock,Energetic,california dreamin,5
Jesus Doesn't Want Me For A Sunbeam,Nirvana,grunge,0.295,0.641,0.51,113.646,0.0638,60,Rock,Groovy,jesus doesn want sunbeam,5
Miss Murder,AFI,emo,0.686,0.873,0.308,143.519,0.00022,72,Rock,Happy,miss murder,5
A Esperança Não Morreu,CPM 22,emo,0.713,0.985,0.519,140.043,0.000511,33,Rock,Happy,esperanca nao morreu,5
Otra Mañana,Masappan,emo,0.75,0.973,0.581,107.448,0.000201,34,Rock,Happy,otra manana,5
¡Lobo ¿Estás?!,Patricio Rey y sus Redonditos de Ricota,punk,0.786,0.73,0.606,93.791,0.185,41,Rock,Happy,lobo estas,5
Pandora Box,2 minutos,punk-rock,0.721,0.947,0.474,110.236,1.69e-05,37,Rock,Happy,pandora box,5
Crush On You - Remix,Lil' Kim;Lil' Cease,alternative,0.771,0.693,0.766,88.837,0.281,0,Rock,Happy,crush remix,5
don't fall,44phantom,emo,0.451,0.519,0.568,159.988,0.0484,45,Rock,Groovy,don fall,5
Anna Molly,Incubus,grunge,0.628,0.973,0.451,151.885,0.00428,61,Rock,Happy,anna molly,5
Ya No Sos Igual,Dos Minutos,punk,0.438,0.912,0.312,126.697,0.000143,37,Rock,Energetic,sos igual,5
Que Pasará,Panteon Rococo,alt-rock,0.833,0.878,0.736,160.078,0.0263,47,Rock,Happy,que pasara,5
Conta Comigo,CPM 22,emo,0.643,0.977,0.503,112.471,0.000124,35,Rock,Happy,conta comigo,5
Miro Por La Ventana - Remastered 2017,Andrés Calamaro,alt-rock,0.907,0.757,0.554,148.27,0.00543,0,Rock,Happy,miro por la ventana remastered,5
The Rain Song - Remaster,Led Zeppelin,hard-rock,0.24,0.318,0.336,79.66,0.317,60,Rock,Sad,rain song remaster,5
P5hng Me A*wy (Mike Shinoda Reanimation) [feat. Stephen Richards],Linkin Park;Stephen Richards,grunge,0.614,0.774,0.556,103.188,0.0376,45,Rock,Happy,hng wy mike shinoda reanimation feat stephen richards,5
Du hast,Rammstein,alt-rock,0.716,0.922,0.64,125.105,0.00369,75,Rock,Happy,du hast,5
Yellow Ledbetter,Pearl Jam,grunge,0.292,0.354,0.504,140.87,0.29,70,Rock,Sad,yellow ledbetter,5
A Través del Amor (Under Stars of Love),Los Solitarios,rock-n-roll,0.505,0.18,0.625,93.45,0.824,29,Rock,Romantic,traves del amor under stars love,5
i got yr message,sadeyes,emo,0.349,0.68,0.563,143.843,0.741,49,Rock,Groovy,yr message,5
Bohemian Rhapsody,Queen,rock,0.246,0.397,0.39,144.031,0.287,75,Rock,Sad,bohemian rhapsody,5
Land of Confusion,Disturbed,alternative,0.324,0.991,0.553,114.919,4.44e-05,1,Rock,Energetic,land confusion,5
Rain (from The Suicide Squad),grandson;Jessie Reyez,alt-rock,0.219,0.643,0.483,125.938,0.0135,63,Rock,Groovy,rain suicide squad,5
Rise Above This,Seether,grunge,0.249,0.83,0.533,120.028,0.011,59,Rock,Dark,rise above,5
Jdi domů Ivane,Rybičky 48,punk-rock,0.658,0.798,0.477,131.976,0.00357,35,Rock,Happy,jdi domu ivane,5
Nobody Can Save Me,Linkin Park,alternative,0.433,0.688,0.645,139.957,0.0107,61,Rock,Groovy,nobody save,5
Sen Duymadın,Cem Karaca,psych-rock,0.602,0.751,0.713,104.034,0.197,31,Rock,Happy,sen duymadn,5
Unchained Melody,Gene Vincent & His Blue Caps,rock-n-roll,0.303,0.158,0.54,122.286,0.704,51,Rock,Sad,unchained melody,5
Super Hero,Atreyu,alt-rock,0.158,0.914,0.433,144.007,0.00394,0,Rock,Dark,super hero,5
One Way Ticket,ONE OK ROCK,emo,0.528,0.745,0.724,97.963,0.467,54,Rock,Energetic,one way ticket,5
"Nena, la Fiesta Terminó... - Las Zorras de Alex",Chingadazo de Kung Fu,punk-rock,0.829,0.87,0.448,89.789,0.0137,42,Rock,Happy,nena la fiesta termino las zorras de alex,5
Estoy Llorando,Los Freddy's,rock-n-roll,0.749,0.422,0.726,111.22,0.562,31,Rock,Groovy,estoy llorando,5
Speed Limit,The Go Getters,rockabilly,0.757,0.858,0.619,106.11,0.00138,21,Rock,Happy,speed limit,5
Shoot Me a Smile,Red Hot Chili Peppers,alt-rock,0.399,0.798,0.576,146.8,0.125,62,Rock,Energetic,shoot smile,5
Eso Es Todo Lo Que Soy,GUFI,punk-rock,0.423,0.971,0.516,182.074,0.00579,44,Rock,Energetic,eso es todo lo que soy,5
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,rock,0.555,0.783,0.728,77.011,0.237,86,Rock,Energetic,enemy jid series arcane league legends,5
What Are You Doing New Year's Eve?,Rod Stewart;Ella Fitzgerald;Chris Botti,rock,0.224,0.265,0.362,76.404,0.94,0,Rock,Sad,doing new year eve,5
Cerita Rakyat,Fiersa Besari,punk,0.376,0.443,0.36,199.876,0.772,39,Rock,Melancholic,cerita rakyat,5
Chemical Smile,Everclear,grunge,0.214,0.997,0.483,103.784,0.00204,29,Rock,Dark,chemical smile,5
The Day I Tried To Live,Soundgarden,grunge,0.305,0.752,0.472,133.248,0.000164,59,Rock,Energetic,day tried live,5
Camaleón - Remasterizado 2007,Soda Stereo,alt-rock,0.55,0.92,0.374,195.93,8.92e-05,46,Rock,Energetic,camaleon remasterizado,5
Anadan Ayrı,Kamuran Akkor,psych-rock,0.624,0.61,0.41,97.352,0.666,28,Rock,Happy,anadan ayr,5
Joy To The World (Unspeakable Joy),Chris Tomlin,alt-rock,0.341,0.876,0.418,128.033,0.00187,1,Rock,Energetic,joy world unspeakable joy,5
I Live My Life For You,Firehouse,hard-rock,0.349,0.497,0.471,141.834,0.0236,52,Rock,Melancholic,live life,5
Vivir Así Es Morir de Amor,Los Caligaris;Pedro Fernández,alt-rock,0.809,0.739,0.704,109.992,0.25,45,Rock,Happy,vivir asi es morir de amor,5
Perfectos Cromosomas,Catupecu Machu,punk-rock,0.46,0.942,0.608,143.979,0.0235,40,Rock,Energetic,perfectos cromosomas,5
Crazy Bitch,Buckcherry,grunge,0.592,0.978,0.661,98.019,0.0247,68,Rock,Energetic,crazy bitch,5
Senden Kalan,Flört,psych-rock,0.593,0.714,0.672,130.01,0.0893,31,Rock,Energetic,senden kalan,5
"Endless, Nameless",Nirvana,grunge,0.0642,0.959,0.271,131.846,0.000256,51,Rock,Dark,endless nameless,5
Eu Protesto,Charlie Brown Jr.,hard-rock,0.695,0.82,0.317,170.124,0.00506,38,Rock,Happy,eu protesto,5
Cuando Calienta El Sol,Alberto Vazquez,rock-n-roll,0.397,0.34,0.43,83.325,0.756,30,Rock,Sad,cuando calienta el sol,5
Keep My Name Outta Your Mouth,The Black Keys,alt-rock,0.645,0.702,0.597,83.507,0.0197,0,Rock,Happy,keep name outta mouth,5
Black Siemens,PHARAOH,emo,0.108,0.438,0.84,111.027,0.198,47,Rock,Melancholic,black siemens,5
Que Mas Da,Ricardo Ceratto,rock-n-roll,0.963,0.435,0.792,100.197,0.531,40,Rock,Groovy,que mas da,5
Sometimes I Feel Like Screaming,Deep Purple,psych-rock,0.188,0.704,0.467,89.658,0.00623,42,Rock,Dark,sometimes feel screaming,5
Jennifer's Body,Hole,grunge,0.55,0.863,0.401,81.65,0.00079,58,Rock,Energetic,jennifer body,5
Little Rock ‘n’ Roller,Surf Curse,punk,0.325,0.727,0.663,117.948,0.0587,42,Rock,Energetic,little rock roller,5
